date,avg_temp_f,solar_irradiance_wm2
2025-06-01,83.9765209245509,754.13
2025-06-02,85.48117632095808,754.25
2025-06-03,83.89739503712573,754.35
2025-06-04,83.93705677604791,754.44
2025-06-05,85.7694328479042,754.52
2025-06-06,87.27095749461077,754.59
2025-06-07,87.80690290299401,754.65
2025-06-08,88.14689768143712,754.69
2025-06-09,84.51658395688622,754.72
2025-06-10,85.49482730538922,754.74
2025-06-11,81.48022677365269,754.74
2025-06-12,77.31806224191617,754.74
2025-06-13,83.14609689580838,754.71
2025-06-14,84.33504074251496,754.68
2025-06-15,82.70127279041915,754.62
2025-06-16,82.27533187065868,754.32
2025-06-17,86.65072280718563,754.0
2025-06-18,87.54708680718564,753.66
2025-06-19,88.29319698203594,753.31
2025-06-20,88.76994480958083,752.94
2025-06-21,88.21468399999999,752.55
2025-06-22,87.61407177005988,752.14
2025-06-23,87.17116260598803,751.71
2025-06-24,86.17971251736527,751.26
2025-06-25,82.87906489101798,750.78
2025-06-26,82.54945522874252,750.28
2025-06-27,84.09113988023952,749.76
2025-06-28,85.64920134131737,749.21
2025-06-29,83.29056843113771,748.63
2025-06-30,83.86764459401198,748.02
2025-07-01,85.66291497005987,747.38
2025-07-02,87.13137471616766,746.71
2025-07-03,82.81650879041915,746.01
2025-07-04,84.06433527185628,745.28
2025-07-05,85.95322888622755,744.51
2025-07-06,86.85722721437125,743.71
2025-07-07,86.32402569580839,742.87
2025-07-08,82.3523973508982,741.99
2025-07-09,81.99473153053893,741.08
2025-07-10,86.1909111473054,740.12
2025-07-11,85.43820568622753,739.13
2025-07-12,86.69555220598802,738.1
2025-07-13,84.15704087664672,737.02
2025-07-14,84.18305059640718,735.9
2025-07-15,86.29204458922155,734.74
2025-07-16,87.44790301317366,734.33
2025-07-17,85.34006231377245,734.66
2025-07-18,85.72809915688623,734.94
2025-07-19,88.09898245748502,735.18
2025-07-20,88.34092185868263,735.37
2025-07-21,88.03856488622755,
2025-07-22,88.24990057964072,735.59
2025-07-23,88.26256598323353,735.62
2025-07-24,88.67354431137724,735.6
2025-07-25,84.41884594011977,735.52
2025-07-26,83.91827305389221,735.39
2025-07-27,86.79488194011977,735.2
2025-07-28,88.2696658730539,734.95
2025-07-29,88.4570516502994,
2025-07-30,89.08670988742514,734.26
2025-07-31,87.61988195449102,733.83
2025-08-01,88.63510545149701,733.34
2025-08-02,86.17772971497007,732.78
2025-08-03,86.9994712766467,732.15
2025-08-04,84.39161536766467,731.47
2025-08-05,85.66884238083833,730.72
2025-08-06,87.1622709508982,729.9
2025-08-07,88.27396384191617,729.01
2025-08-08,88.49948819161676,728.06
2025-08-09,87.18183912814371,727.04
2025-08-10,86.44437468742515,725.96
2025-08-11,87.03631639281437,724.8
2025-08-12,86.62586551856286,723.58
2025-08-13,88.14385268502994,722.29
2025-08-14,89.37975928622754,720.93
2025-08-15,87.97623069221557,719.5
2025-08-16,87.00672926467067,717.86
2025-08-17,89.35335343712576,716.01
2025-08-18,89.23879841916167,714.09
2025-08-19,84.77689732694611,712.1
2025-08-20,86.65096708982037,710.04
2025-08-21,85.69231037125749,707.91
2025-08-22,82.84551388263473,705.71
2025-08-23,84.79093512814372,703.44
2025-08-24,88.09631367185628,701.1
2025-08-25,87.42014054610779,698.68
2025-08-26,87.1350313245509,696.2
2025-08-27,85.16654360718562,693.65
2025-08-28,87.15991611976048,691.03
2025-08-29,87.19898099161676,688.34
2025-08-30,85.87058965748503,685.58
2025-08-31,80.71558405748503,682.76
2025-09-01,81.91100768862276,679.87
2025-09-02,84.52655086946108,676.91
2025-09-03,86.95710345868262,673.89
2025-09-04,86.0295606994012,670.8
2025-09-05,87.55449271856288,667.65
2025-09-06,85.19884379880239,664.44
2025-09-07,78.45397106107785,661.17
2025-09-08,79.3667506730539,657.83
2025-09-09,77.79483412694611,654.44
2025-09-10,80.53893473053893,650.99
2025-09-11,84.7439421508982,647.49
2025-09-12,84.14818552335329,643.93
2025-09-13,83.70777428502996,640.32
2025-09-14,83.22252338682634,636.66
2025-09-15,84.49173279041915,632.95
2025-09-16,83.56830153293413,629.31
2025-09-17,84.68136708023953,625.62
2025-09-18,84.36246131736527,621.89
2025-09-19,84.13054578203594,618.12
2025-09-20,83.37660256766466,614.31
2025-09-21,83.57849901796406,610.45
2025-09-22,84.03547241197604,606.56
2025-09-23,85.36255946826347,602.63
2025-09-24,85.45305467305388,598.67
2025-09-25,83.21099980838324,594.68
2025-09-26,80.12949793532934,590.66
2025-09-27,78.29603483592814,586.62
2025-09-28,78.03833536766467,582.54
